# Athena++ data at time=1.905019e+02  cycle=97537  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999899788926350e-01   5.9999999911900570e-01  -4.4129331026310619e-10   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999899849302054e-01   5.9999999911969604e-01  -1.3248791687382469e-09   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999899969990658e-01   5.9999999912073643e-01  -2.2069587476682159e-09   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999900150940679e-01   5.9999999912235558e-01  -3.0880112924206106e-09   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999900392029029e-01   5.9999999912447810e-01  -3.9670888243989539e-09   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999900693120791e-01   5.9999999912712509e-01  -4.8438255577384078e-09   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999901054029294e-01   5.9999999913029300e-01  -5.7176375435141849e-09   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999901474538522e-01   5.9999999913397961e-01  -6.5880196534957071e-09   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999901954396830e-01   5.9999999913818391e-01  -7.4544426215561735e-09   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999902493311776e-01   5.9999999914290314e-01  -8.3163881199278012e-09   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999903090961362e-01   5.9999999914813484e-01  -9.1733374531378531e-09   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999903746984053e-01   5.9999999915387592e-01  -1.0024777018793044e-08   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999904460986322e-01   5.9999999916012337e-01  -1.0870195164057657e-08   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999905232537167e-01   5.9999999916687385e-01  -1.1709084520765323e-08   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999906061173749e-01   5.9999999917412339e-01  -1.2540940393605550e-08   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999906946391692e-01   5.9999999918186842e-01  -1.3365263844929264e-08   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999907887664730e-01   5.9999999919010460e-01  -1.4181559044728034e-08   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999908884422206e-01   5.9999999919882752e-01  -1.4989335503876270e-08   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999909936066367e-01   5.9999999920803282e-01  -1.5788107255326448e-08   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999911041956724e-01   5.9999999921771552e-01  -1.6577393938463973e-08   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999912201436647e-01   5.9999999922787062e-01  -1.7356720210232685e-08   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999913413801389e-01   5.9999999923849345e-01  -1.8125616351920322e-08   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999914678323398e-01   5.9999999924957825e-01  -1.8883618544261410e-08   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999915994238620e-01   5.9999999926112002e-01  -1.9630269518922418e-08   0.0000000000000000e+00   0.0000000000000000e+00
