# Athena++ data at time=1.382519e+02  cycle=70785  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999896276258882e-01   5.9999996399230249e-01   1.8559224939340216e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999896338677807e-01   5.9999996401342015e-01   2.9794599392373544e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999896463481275e-01   5.9999996405560785e-01   5.2512241272101272e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999896650600506e-01   5.9999996411892209e-01   7.1931993966508457e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999896899955920e-01   5.9999996420370538e-01   9.2939922740048507e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999897211389288e-01   5.9999996430977920e-01   1.1376545020670218e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999897584736108e-01   5.9999996443733261e-01   1.3485389367577293e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999898019774947e-01   5.9999996458631710e-01   1.5596317598461077e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999898516253649e-01   5.9999996475672657e-01   1.7708775332830736e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999899073872311e-01   5.9999996494848085e-01   1.9817150339877247e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999899692299243e-01   5.9999996516148490e-01   2.1919298424958845e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999900371161199e-01   5.9999996539561895e-01   2.4012923746732372e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999901110052447e-01   5.9999996565074998e-01   2.6096008662575175e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999901908525712e-01   5.9999996592673155e-01   2.8166315701692486e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999902766103577e-01   5.9999996622340246e-01   3.0221504039879334e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999903682266500e-01   5.9999996654058529e-01   3.2259417112660798e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999904656464433e-01   5.9999996687808599e-01   3.4278012315216404e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999905688111390e-01   5.9999996723569482e-01   3.6275521413842577e-10   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999906776584302e-01   5.9999996761318808e-01   3.8250275361455250e-10   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999907921220521e-01   5.9999996801032873e-01   4.0200692727738838e-10   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999909121338637e-01   5.9999996842686720e-01   4.2125275251817163e-10   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999910376207801e-01   5.9999996886254192e-01   4.4022532262197154e-10   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999911685074760e-01   5.9999996931707922e-01   4.5891135719772434e-10   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999913047147049e-01   5.9999996979019310e-01   4.7729869972387966e-10   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999914461606354e-01   5.9999997028158669e-01   4.9537465619535888e-10   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999915927598160e-01   5.9999997079095191e-01   5.1312816696968636e-10   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999917444239805e-01   5.9999997131797056e-01   5.3054929189629101e-10   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999919010610994e-01   5.9999997186231424e-01   5.4762742427650741e-10   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999920625770999e-01   5.9999997242364456e-01   5.6435322578137633e-10   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999922288748733e-01   5.9999997300161334e-01   5.8071772514715950e-10   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999923998536333e-01   5.9999997359586421e-01   5.9671305119283171e-10   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999925754107155e-01   5.9999997420603035e-01   6.1233025479859485e-10   0.0000000000000000e+00   0.0000000000000000e+00
0034   1.2695312500000000e-01   9.9999927554399126e-01   5.9999997483173695e-01   6.2756174538100194e-10   0.0000000000000000e+00   0.0000000000000000e+00
0035   1.3085937500000000e-01   9.9999929398331777e-01   5.9999997547260120e-01   6.4240036896246122e-10   0.0000000000000000e+00   0.0000000000000000e+00
0036   1.3476562500000000e-01   9.9999931284789489e-01   5.9999997612823142e-01   6.5683874152280771e-10   0.0000000000000000e+00   0.0000000000000000e+00
0037   1.3867187500000000e-01   9.9999933212638226e-01   5.9999997679822759e-01   6.7086999242287916e-10   0.0000000000000000e+00   0.0000000000000000e+00
0038   1.4257812500000000e-01   9.9999935180714783e-01   5.9999997748218292e-01   6.8448742161631036e-10   0.0000000000000000e+00   0.0000000000000000e+00
0039   1.4648437500000000e-01   9.9999937187834209e-01   5.9999997817968165e-01   6.9768448625652978e-10   0.0000000000000000e+00   0.0000000000000000e+00
0040   1.5039062500000000e-01   9.9999939232789115e-01   5.9999997889030199e-01   7.1045481851588695e-10   0.0000000000000000e+00   0.0000000000000000e+00
0041   1.5429687500000000e-01   9.9999941314343932e-01   5.9999997961361395e-01   7.2279212547036819e-10   0.0000000000000000e+00   0.0000000000000000e+00
0042   1.5820312500000000e-01   9.9999943431243155e-01   5.9999998034918101e-01   7.3469038075151066e-10   0.0000000000000000e+00   0.0000000000000000e+00
0043   1.6210937500000000e-01   9.9999945582218297e-01   5.9999998109655994e-01   7.4614386077171557e-10   0.0000000000000000e+00   0.0000000000000000e+00
0044   1.6601562500000000e-01   9.9999947765970665e-01   5.9999998185530001e-01   7.5714628030481418e-10   0.0000000000000000e+00   0.0000000000000000e+00
0045   1.6992187500000000e-01   9.9999949981183067e-01   5.9999998262494503e-01   7.6769245483358185e-10   0.0000000000000000e+00   0.0000000000000000e+00
0046   1.7382812500000000e-01   9.9999952226522371e-01   5.9999998340503236e-01   7.7777660316415344e-10   0.0000000000000000e+00   0.0000000000000000e+00
0047   1.7773437500000000e-01   9.9999954500637600e-01   5.9999998419509326e-01   7.8739295307168487e-10   0.0000000000000000e+00   0.0000000000000000e+00
0048   1.8164062500000000e-01   9.9999956802157064e-01   5.9999998499465346e-01   7.9653667533031607e-10   0.0000000000000000e+00   0.0000000000000000e+00
0049   1.8554687500000000e-01   9.9999959129695326e-01   5.9999998580323299e-01   8.0520257539280653e-10   0.0000000000000000e+00   0.0000000000000000e+00
0050   1.8945312500000000e-01   9.9999961481851940e-01   5.9999998662034593e-01   8.1338575252409678e-10   0.0000000000000000e+00   0.0000000000000000e+00
0051   1.9335937500000000e-01   9.9999963857206486e-01   5.9999998744550209e-01   8.2108154390239986e-10   0.0000000000000000e+00   0.0000000000000000e+00
0052   1.9726562500000000e-01   9.9999966254330086e-01   5.9999998827820655e-01   8.2828534968858843e-10   0.0000000000000000e+00   0.0000000000000000e+00
0053   2.0117187500000000e-01   9.9999968671781714e-01   5.9999998911795926e-01   8.3499300961248511e-10   0.0000000000000000e+00   0.0000000000000000e+00
0054   2.0507812500000000e-01   9.9999971108101937e-01   5.9999998996425619e-01   8.4120068782108325e-10   0.0000000000000000e+00   0.0000000000000000e+00
0055   2.0898437500000000e-01   9.9999973561826405e-01   5.9999999081658906e-01   8.4690426594078417e-10   0.0000000000000000e+00   0.0000000000000000e+00
0056   2.1289062500000000e-01   9.9999976031474447e-01   5.9999999167444618e-01   8.5210070316982332e-10   0.0000000000000000e+00   0.0000000000000000e+00
0057   2.1679687500000000e-01   9.9999978515561228e-01   5.9999999253731195e-01   8.5678648283842533e-10   0.0000000000000000e+00   0.0000000000000000e+00
0058   2.2070312500000000e-01   9.9999981012583539e-01   5.9999999340466770e-01   8.6095944158216136e-10   0.0000000000000000e+00   0.0000000000000000e+00
0059   2.2460937500000000e-01   9.9999983521047953e-01   5.9999999427599371e-01   8.6461589671824984e-10   0.0000000000000000e+00   0.0000000000000000e+00
0060   2.2851562500000000e-01   9.9999986039438205e-01   5.9999999515075975e-01   8.6775514220070262e-10   0.0000000000000000e+00   0.0000000000000000e+00
0061   2.3242187500000000e-01   9.9999988566238340e-01   5.9999999602845888e-01   8.7037481006174830e-10   0.0000000000000000e+00   0.0000000000000000e+00
