# Athena++ data at time=1.035019e+02  cycle=52993  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999899789792979e-01   5.9999999912768376e-01  -4.4213510827041783e-10   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999899850169871e-01   5.9999999912837199e-01  -1.3274028855552540e-09   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999899970857875e-01   5.9999999912940716e-01  -2.2111602145518231e-09   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999900151806609e-01   5.9999999913101865e-01  -3.0938842540714638e-09   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999900392895036e-01   5.9999999913313118e-01  -3.9746231908567598e-09   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999900693984267e-01   5.9999999913576574e-01  -4.8530096384020099e-09   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999901054891382e-01   5.9999999913891833e-01  -5.7284561103542018e-09   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999901475398634e-01   5.9999999914258673e-01  -6.6004563624856034e-09   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999901955255011e-01   5.9999999914676949e-01  -7.4684776656142768e-09   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999902494168336e-01   5.9999999915146429e-01  -8.3320006132597449e-09   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999903091814213e-01   5.9999999915666757e-01  -9.1905042763050707e-09   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999903747833518e-01   5.9999999916237623e-01  -1.0043472706931876e-08   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999904461833078e-01   5.9999999916858682e-01  -1.0890393657894053e-08   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999905233379383e-01   5.9999999917529523e-01  -1.1730758011671505e-08   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999906062010058e-01   5.9999999918249747e-01  -1.2564060553029393e-08   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999906947224415e-01   5.9999999919018898e-01  -1.3389801973404516e-08   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999907888490580e-01   5.9999999919836466e-01  -1.4207485997348154e-08   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999908885241573e-01   5.9999999920701963e-01  -1.5016622174603626e-08   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999909936878173e-01   5.9999999921614877e-01  -1.5816725396604007e-08   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999911042760525e-01   5.9999999922574654e-01  -1.6607315453337498e-08   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999912202230146e-01   5.9999999923580760e-01  -1.7387918232749775e-08   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999913414584551e-01   5.9999999924632597e-01  -1.8158066066738594e-08   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999914679094193e-01   5.9999999925729597e-01  -1.8917296031699637e-08   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999915994998023e-01   5.9999999926871139e-01  -1.9665153766749481e-08   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999917361503199e-01   5.9999999928056658e-01  -2.0401189434944085e-08   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999918777788377e-01   5.9999999929285475e-01  -2.1124960543710607e-08   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999920242997764e-01   5.9999999930556991e-01  -2.1836032198931129e-08   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999921756249488e-01   5.9999999931870551e-01  -2.2533975761493380e-08   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999923316632033e-01   5.9999999933225501e-01  -2.3218370079119417e-08   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999924923207739e-01   5.9999999934621195e-01  -2.3888802201391155e-08   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999926575006648e-01   5.9999999936056991e-01  -2.4544865603571805e-08   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999928271035288e-01   5.9999999937532122e-01  -2.5186162662672832e-08   0.0000000000000000e+00   0.0000000000000000e+00
0034   1.2695312500000000e-01   9.9999930010271398e-01   5.9999999939045934e-01  -2.5812303375910053e-08   0.0000000000000000e+00   0.0000000000000000e+00
0035   1.3085937500000000e-01   9.9999931791669461e-01   5.9999999940597692e-01  -2.6422905239470518e-08   0.0000000000000000e+00   0.0000000000000000e+00
0036   1.3476562500000000e-01   9.9999933614153369e-01   5.9999999942186688e-01  -2.7017595293626874e-08   0.0000000000000000e+00   0.0000000000000000e+00
0037   1.3867187500000000e-01   9.9999935476627733e-01   5.9999999943812121e-01  -2.7596008410660691e-08   0.0000000000000000e+00   0.0000000000000000e+00
0038   1.4257812500000000e-01   9.9999937377970605e-01   5.9999999945473215e-01  -2.8157788010208310e-08   0.0000000000000000e+00   0.0000000000000000e+00
0039   1.4648437500000000e-01   9.9999939317036879e-01   5.9999999947169147e-01  -2.8702586855024947e-08   0.0000000000000000e+00   0.0000000000000000e+00
0040   1.5039062500000000e-01   9.9999941292659078e-01   5.9999999948899030e-01  -2.9230067666513483e-08   0.0000000000000000e+00   0.0000000000000000e+00
0041   1.5429687500000000e-01   9.9999943303645056e-01   5.9999999950661953e-01  -2.9739901920884524e-08   0.0000000000000000e+00   0.0000000000000000e+00
0042   1.5820312500000000e-01   9.9999945348784136e-01   5.9999999952456973e-01  -3.0231770924200185e-08   0.0000000000000000e+00   0.0000000000000000e+00
0043   1.6210937500000000e-01   9.9999947426846514e-01   5.9999999954283034e-01  -3.0705366372237238e-08   0.0000000000000000e+00   0.0000000000000000e+00
0044   1.6601562500000000e-01   9.9999949536581512e-01   5.9999999956139038e-01  -3.1160390507049977e-08   0.0000000000000000e+00   0.0000000000000000e+00
0045   1.6992187500000000e-01   9.9999951676714971e-01   5.9999999958023820e-01  -3.1596556429172787e-08   0.0000000000000000e+00   0.0000000000000000e+00
0046   1.7382812500000000e-01   9.9999953845957590e-01   5.9999999959936134e-01  -3.2013588491051548e-08   0.0000000000000000e+00   0.0000000000000000e+00
0047   1.7773437500000000e-01   9.9999956043004745e-01   5.9999999961874628e-01  -3.2411223703208195e-08   0.0000000000000000e+00   0.0000000000000000e+00
0048   1.8164062500000000e-01   9.9999958266531430e-01   5.9999999963837836e-01  -3.2789209868811958e-08   0.0000000000000000e+00   0.0000000000000000e+00
0049   1.8554687500000000e-01   9.9999960515199193e-01   5.9999999965824302e-01  -3.3147307525346749e-08   0.0000000000000000e+00   0.0000000000000000e+00
0050   1.8945312500000000e-01   9.9999962787651919e-01   5.9999999967832418e-01  -3.3485290738448834e-08   0.0000000000000000e+00   0.0000000000000000e+00
0051   1.9335937500000000e-01   9.9999965082518827e-01   5.9999999969860429e-01  -3.3802946487198069e-08   0.0000000000000000e+00   0.0000000000000000e+00
0052   1.9726562500000000e-01   9.9999967398418887e-01   5.9999999971906448e-01  -3.4100077782250169e-08   0.0000000000000000e+00   0.0000000000000000e+00
0053   2.0117187500000000e-01   9.9999969733956373e-01   5.9999999973968232e-01  -3.4376504667714945e-08   0.0000000000000000e+00   0.0000000000000000e+00
