# Athena++ data at time=1.182519e+02  cycle=60545  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999896274524225e-01   5.9999996397495925e-01   1.8558813505967276e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999896336946403e-01   5.9999996399610056e-01   2.9764827287884726e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999896461753768e-01   5.9999996403833789e-01   5.2466743228848662e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999896648880560e-01   5.9999996410172629e-01   7.1866820018666900e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999896898246032e-01   5.9999996418660706e-01   9.2856524397397961e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999897209691380e-01   5.9999996429280189e-01   1.1366322959517840e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999897583052677e-01   5.9999996442049786e-01   1.3473225248919300e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999898018107825e-01   5.9999996456964599e-01   1.5581987627396231e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999898514604746e-01   5.9999996474023820e-01   1.7692048223282655e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999899072243570e-01   5.9999996493219354e-01   1.9797735157144056e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999899690692007e-01   5.9999996514541509e-01   2.1896829683412202e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999900369577155e-01   5.9999996537978084e-01   2.3987047098532208e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999901108493050e-01   5.9999996563515634e-01   2.6066369721112081e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999901906991895e-01   5.9999996591139337e-01   2.8132492981441997e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999902764595994e-01   5.9999996620832874e-01   3.0183131900907492e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999903680786395e-01   5.9999996652578347e-01   3.2216129877158701e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999904655012206e-01   5.9999996686356183e-01   3.4229421914404895e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999905686686785e-01   5.9999996722145255e-01   3.6221336606938078e-10   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999906775188174e-01   5.9999996759923047e-01   3.8190171340686010e-10   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999907919853404e-01   5.9999996799665689e-01   4.0134407983890142e-10   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999909119999619e-01   5.9999996841348147e-01   4.2052604123542489e-10   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999910374898426e-01   5.9999996884944140e-01   4.3943324936425701e-10   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999911683792941e-01   5.9999996930426136e-01   4.5805238622833375e-10   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999913045893329e-01   5.9999996977765557e-01   4.7637181654347715e-10   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999914460380745e-01   5.9999997026932650e-01   4.9437977736035805e-10   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999915926400307e-01   5.9999997077896539e-01   5.1206554400459306e-10   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999917443068065e-01   5.9999997130625427e-01   5.2941958581107109e-10   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999919009465921e-01   5.9999997185086440e-01   5.4643170557214696e-10   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999920624652949e-01   5.9999997241245773e-01   5.6309360780495426e-10   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999922287655540e-01   5.9999997299068675e-01   5.7939632093503879e-10   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999923997469531e-01   5.9999997358519463e-01   5.9533141463955713e-10   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999925753065111e-01   5.9999997419561624e-01   6.1089180229171826e-10   0.0000000000000000e+00   0.0000000000000000e+00
0034   1.2695312500000000e-01   9.9999927553383494e-01   5.9999997482157708e-01   6.2606896162103247e-10   0.0000000000000000e+00   0.0000000000000000e+00
0035   1.3085937500000000e-01   9.9999929397340781e-01   5.9999997546269401e-01   6.4085659524942373e-10   0.0000000000000000e+00   0.0000000000000000e+00
