# Athena++ data at time=1.927519e+02  cycle=98689  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999903473128360e-01   6.0000003596106233e-01  -1.8546770634428214e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999903531329049e-01   6.0000003594000162e-01  -2.9827801306298951e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999903647706423e-01   6.0000003589793061e-01  -5.2559347692672090e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999903822180536e-01   6.0000003583479000e-01  -7.2000721511309617e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999904054601296e-01   6.0000003575023708e-01  -9.3025987681271178e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999904344849433e-01   6.0000003564444782e-01  -1.1387044294085818e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999904692719599e-01   6.0000003551723180e-01  -1.3497866135421994e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999905098000408e-01   6.0000003536863522e-01  -1.5611074035390848e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999905560441427e-01   6.0000003519866185e-01  -1.7726290862496666e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999906079756828e-01   6.0000003500738830e-01  -1.9838019046460466e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999906655635473e-01   6.0000003479490671e-01  -2.1944192759776771e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999907287726675e-01   6.0000003456133377e-01  -2.4042596050495645e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999907975650693e-01   6.0000003430679871e-01  -2.6131293606153147e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999908718991248e-01   6.0000003403144442e-01  -2.8208066989903165e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999909517301366e-01   6.0000003373542843e-01  -3.0270618565908133e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999910370094436e-01   6.0000003341892483e-01  -3.2316775663095973e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999911276864306e-01   6.0000003308212391e-01  -3.4344490089307947e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999912237060407e-01   6.0000003272523184e-01  -3.6352042826959855e-10   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999913250107564e-01   6.0000003234846899e-01  -3.8337667831485527e-10   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999914315389915e-01   6.0000003195206941e-01  -4.0299731252326929e-10   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999915432275366e-01   6.0000003153627923e-01  -4.2236698624686509e-10   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999916600086114e-01   6.0000003110135824e-01  -4.4147024170497311e-10   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999917818121609e-01   6.0000003064757745e-01  -4.6029278899602658e-10   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999919085647182e-01   6.0000003017522108e-01  -4.7882070460046085e-10   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999920401903253e-01   6.0000002968458421e-01  -4.9704172017606951e-10   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999921766098443e-01   6.0000002917597350e-01  -5.1494331150105782e-10   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999923177410910e-01   6.0000002864970658e-01  -5.3251384669668880e-10   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999924634989590e-01   6.0000002810611130e-01  -5.4974325459274055e-10   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999926137958051e-01   6.0000002754552517e-01  -5.6662027018180118e-10   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999927685415857e-01   6.0000002696829680e-01  -5.8313553401716651e-10   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999929276428079e-01   6.0000002637478300e-01  -5.9927955524296477e-10   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999930910039558e-01   6.0000002576535050e-01  -6.1504362291799291e-10   0.0000000000000000e+00   0.0000000000000000e+00
0034   1.2695312500000000e-01   9.9999932585263263e-01   6.0000002514037531e-01  -6.3041923233134989e-10   0.0000000000000000e+00   0.0000000000000000e+00
0035   1.3085937500000000e-01   9.9999934301096483e-01   6.0000002450024137e-01  -6.4539796377177286e-10   0.0000000000000000e+00   0.0000000000000000e+00
0036   1.3476562500000000e-01   9.9999936056501737e-01   6.0000002384534168e-01  -6.5997311782611712e-10   0.0000000000000000e+00   0.0000000000000000e+00
0037   1.3867187500000000e-01   9.9999937850425047e-01   6.0000002317607681e-01  -6.7413610325948288e-10   0.0000000000000000e+00   0.0000000000000000e+00
0038   1.4257812500000000e-01   9.9999939681782435e-01   6.0000002249285600e-01  -6.8788084068794298e-10   0.0000000000000000e+00   0.0000000000000000e+00
0039   1.4648437500000000e-01   9.9999941549476590e-01   6.0000002179609557e-01  -7.0119986411148264e-10   0.0000000000000000e+00   0.0000000000000000e+00
0040   1.5039062500000000e-01   9.9999943452383744e-01   6.0000002108621964e-01  -7.1408720904723935e-10   0.0000000000000000e+00   0.0000000000000000e+00
0041   1.5429687500000000e-01   9.9999945389350087e-01   6.0000002036365907e-01  -7.2653601650682476e-10   0.0000000000000000e+00   0.0000000000000000e+00
0042   1.5820312500000000e-01   9.9999947359213592e-01   6.0000001962885174e-01  -7.3854091199568514e-10   0.0000000000000000e+00   0.0000000000000000e+00
0043   1.6210937500000000e-01   9.9999949360790408e-01   6.0000001888224308e-01  -7.5009539863690014e-10   0.0000000000000000e+00   0.0000000000000000e+00
0044   1.6601562500000000e-01   9.9999951392872255e-01   6.0000001812428450e-01  -7.6119432359107440e-10   0.0000000000000000e+00   0.0000000000000000e+00
0045   1.6992187500000000e-01   9.9999953454235657e-01   6.0000001735543362e-01  -7.7183202942894269e-10   0.0000000000000000e+00   0.0000000000000000e+00
0046   1.7382812500000000e-01   9.9999955543639529e-01   6.0000001657615409e-01  -7.8200271031019828e-10   0.0000000000000000e+00   0.0000000000000000e+00
0047   1.7773437500000000e-01   9.9999957659823935e-01   6.0000001578691564e-01  -7.9170211619565667e-10   0.0000000000000000e+00   0.0000000000000000e+00
0048   1.8164062500000000e-01   9.9999959801516325e-01   6.0000001498819400e-01  -8.0092505407586952e-10   0.0000000000000000e+00   0.0000000000000000e+00
0049   1.8554687500000000e-01   9.9999961967424278e-01   6.0000001418046967e-01  -8.0966673354405096e-10   0.0000000000000000e+00   0.0000000000000000e+00
0050   1.8945312500000000e-01   9.9999964156245602e-01   6.0000001336422804e-01  -8.1792255473745909e-10   0.0000000000000000e+00   0.0000000000000000e+00
0051   1.9335937500000000e-01   9.9999966366657900e-01   6.0000001253996016e-01  -8.2568831325502518e-10   0.0000000000000000e+00   0.0000000000000000e+00
0052   1.9726562500000000e-01   9.9999968597331523e-01   6.0000001170816097e-01  -8.3295929467187622e-10   0.0000000000000000e+00   0.0000000000000000e+00
0053   2.0117187500000000e-01   9.9999970846923980e-01   6.0000001086933052e-01  -8.3973220781272071e-10   0.0000000000000000e+00   0.0000000000000000e+00
0054   2.0507812500000000e-01   9.9999973114079299e-01   6.0000001002397252e-01  -8.4600287827618092e-10   0.0000000000000000e+00   0.0000000000000000e+00
0055   2.0898437500000000e-01   9.9999975397432594e-01   6.0000000917259455e-01  -8.5176771225580464e-10   0.0000000000000000e+00   0.0000000000000000e+00
0056   2.1289062500000000e-01   9.9999977695606757e-01   6.0000000831570810e-01  -8.5702371491325637e-10   0.0000000000000000e+00   0.0000000000000000e+00
