# Athena++ data at time=1.647519e+02  cycle=84353  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999903475514940e-01   6.0000003598493301e-01  -1.8540157300509555e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999903533713286e-01   6.0000003596384499e-01  -2.9772605307052780e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999903650084365e-01   6.0000003592171669e-01  -5.2472000103776986e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999903824550662e-01   6.0000003585849060e-01  -7.1877572447229476e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999904056960021e-01   6.0000003577382444e-01  -9.2870503983811925e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999904347194091e-01   6.0000003566789506e-01  -1.1368232905164977e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999904695046482e-01   6.0000003554051273e-01  -1.3475907529562675e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999905100309250e-01   6.0000003539172486e-01  -1.5585867985062907e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999905562727986e-01   6.0000003522153655e-01  -1.7697755823984279e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999906082020296e-01   6.0000003503002530e-01  -1.9805928233275842e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999906657872828e-01   6.0000003481728525e-01  -2.1908282184475453e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999907289936707e-01   6.0000003458343409e-01  -2.4002605505696147e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999907977831204e-01   6.0000003432860272e-01  -2.6086929408382087e-10   0.0000000000000000e+00   0.0000000000000000e+00
