# Athena++ data at time=5.850192e+01  cycle=29953  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999899790244140e-01   5.9999999913220448e-01  -4.4257181381901327e-10   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999899850622964e-01   5.9999999913288948e-01  -1.3287086429116491e-09   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999899971309336e-01   5.9999999913391766e-01  -2.2133357336044705e-09   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999900152255505e-01   5.9999999913551949e-01  -3.0969276739377165e-09   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999900393343644e-01   5.9999999913761937e-01  -3.9785331363744292e-09   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999900694432042e-01   5.9999999914023827e-01  -4.8577830958578773e-09   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999901055337237e-01   5.9999999914337321e-01  -5.7340901787752710e-09   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999901475841313e-01   5.9999999914702185e-01  -6.6069460926986829e-09   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999901955696080e-01   5.9999999915118307e-01  -7.4758177740443976e-09   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999902494606885e-01   5.9999999915585456e-01  -8.3401841034490550e-09   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999903092250852e-01   5.9999999916103353e-01  -9.1995236310984490e-09   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999903748267316e-01   5.9999999916671698e-01  -1.0053317951167566e-08   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999904462263833e-01   5.9999999917290148e-01  -1.0901054370213020e-08   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999905233808750e-01   5.9999999917958335e-01  -1.1742221275440676e-08   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999906062436905e-01   5.9999999918675828e-01  -1.2576312707359027e-08   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999906947648953e-01   5.9999999919442215e-01  -1.3402826824861600e-08   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999907888912043e-01   5.9999999920256997e-01  -1.4221266123902935e-08   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999908885659350e-01   5.9999999921119651e-01  -1.5031139260923525e-08   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999909937291886e-01   5.9999999922029634e-01  -1.5831959302649606e-08   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999911043172274e-01   5.9999999922986358e-01  -1.6623245332027166e-08   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999912202638264e-01   5.9999999923989233e-01  -1.7404522380929228e-08   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999913414989350e-01   5.9999999925037606e-01  -1.8175321962423159e-08   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999914679495105e-01   5.9999999926130787e-01  -1.8935181526252384e-08   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999915995395194e-01   5.9999999927268188e-01  -1.9683646041706187e-08   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999917361896085e-01   5.9999999928449055e-01  -2.0420266492235107e-08   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999918778176000e-01   5.9999999929672720e-01  -2.1144602211554830e-08   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999920243379714e-01   5.9999999930938464e-01  -2.1856218343544672e-08   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999921756624222e-01   5.9999999932245529e-01  -2.2554689118518960e-08   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999923316999284e-01   5.9999999933593207e-01  -2.3239595769286369e-08   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999924923567018e-01   5.9999999934980763e-01  -2.3910527469711344e-08   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999926575356923e-01   5.9999999936407467e-01  -2.4567081570348308e-08   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999928271376104e-01   5.9999999937872572e-01  -2.5208862460693755e-08   0.0000000000000000e+00   0.0000000000000000e+00
0034   1.2695312500000000e-01   9.9999930010601445e-01   5.9999999939375337e-01  -2.5835483864202796e-08   0.0000000000000000e+00   0.0000000000000000e+00
0035   1.3085937500000000e-01   9.9999931791986929e-01   5.9999999940915016e-01  -2.6446567077795873e-08   0.0000000000000000e+00   0.0000000000000000e+00
0036   1.3476562500000000e-01   9.9999933614458014e-01   5.9999999942490889e-01  -2.7041743016974503e-08   0.0000000000000000e+00   0.0000000000000000e+00
0037   1.3867187500000000e-01   9.9999935476918111e-01   5.9999999944102222e-01  -2.7620649497838973e-08   0.0000000000000000e+00   0.0000000000000000e+00
0038   1.4257812500000000e-01   9.9999937378246595e-01   5.9999999945748261e-01  -2.8182933964243434e-08   0.0000000000000000e+00   0.0000000000000000e+00
0039   1.4648437500000000e-01   9.9999939317295095e-01   5.9999999947428206e-01  -2.8728252830588575e-08   0.0000000000000000e+00   0.0000000000000000e+00
0040   1.5039062500000000e-01   9.9999941292900407e-01   5.9999999949141336e-01  -2.9256270532599574e-08   0.0000000000000000e+00   0.0000000000000000e+00
0041   1.5429687500000000e-01   9.9999943303868710e-01   5.9999999950886851e-01  -2.9766661303955813e-08   0.0000000000000000e+00   0.0000000000000000e+00
0042   1.5820312500000000e-01   9.9999945348991270e-01   5.9999999952663874e-01  -3.0259108015983831e-08   0.0000000000000000e+00   0.0000000000000000e+00
0043   1.6210937500000000e-01   9.9999947427035785e-01   5.9999999954471561e-01  -3.0733304004218746e-08   0.0000000000000000e+00   0.0000000000000000e+00
0044   1.6601562500000000e-01   9.9999949536751076e-01   5.9999999956309014e-01  -3.1188950952361117e-08   0.0000000000000000e+00   0.0000000000000000e+00
0045   1.6992187500000000e-01   9.9999951676866738e-01   5.9999999958175265e-01  -3.1625762073176286e-08   0.0000000000000000e+00   0.0000000000000000e+00
0046   1.7382812500000000e-01   9.9999953846090561e-01   5.9999999960069206e-01  -3.2043460676393791e-08   0.0000000000000000e+00   0.0000000000000000e+00
0047   1.7773437500000000e-01   9.9999956043119742e-01   5.9999999961989725e-01  -3.2441781202309558e-08   0.0000000000000000e+00   0.0000000000000000e+00
0048   1.8164062500000000e-01   9.9999958266628663e-01   5.9999999963935602e-01  -3.2820468958361593e-08   0.0000000000000000e+00   0.0000000000000000e+00
0049   1.8554687500000000e-01   9.9999960515280784e-01   5.9999999965905493e-01  -3.3179280943117167e-08   0.0000000000000000e+00   0.0000000000000000e+00
0050   1.8945312500000000e-01   9.9999962787717356e-01   5.9999999967898010e-01  -3.3517985447931710e-08   0.0000000000000000e+00   0.0000000000000000e+00
0051   1.9335937500000000e-01   9.9999965082569953e-01   5.9999999969911622e-01  -3.3836365316836221e-08   0.0000000000000000e+00   0.0000000000000000e+00
0052   1.9726562500000000e-01   9.9999967398457223e-01   5.9999999971944518e-01  -3.4134217003791776e-08   0.0000000000000000e+00   0.0000000000000000e+00
0053   2.0117187500000000e-01   9.9999969733982930e-01   5.9999999973994622e-01  -3.4411353847170960e-08   0.0000000000000000e+00   0.0000000000000000e+00
0054   2.0507812500000000e-01   9.9999972087740052e-01   5.9999999976059748e-01  -3.4667604359364457e-08   0.0000000000000000e+00   0.0000000000000000e+00
0055   2.0898437500000000e-01   9.9999974458308671e-01   5.9999999978137697e-01  -3.4902811157207688e-08   0.0000000000000000e+00   0.0000000000000000e+00
0056   2.1289062500000000e-01   9.9999976844259664e-01   5.9999999980226482e-01  -3.5116830794067065e-08   0.0000000000000000e+00   0.0000000000000000e+00
0057   2.1679687500000000e-01   9.9999979244156434e-01   5.9999999982323737e-01  -3.5309533264207089e-08   0.0000000000000000e+00   0.0000000000000000e+00
0058   2.2070312500000000e-01   9.9999981656548131e-01   5.9999999984427244e-01  -3.5480812468015500e-08   0.0000000000000000e+00   0.0000000000000000e+00
0059   2.2460937500000000e-01   9.9999984079982462e-01   5.9999999986531127e-01  -3.5630579249135913e-08   0.0000000000000000e+00   0.0000000000000000e+00
0060   2.2851562500000000e-01   9.9999986513000461e-01   5.9999999988634678e-01  -3.5758818966515121e-08   0.0000000000000000e+00   0.0000000000000000e+00
0061   2.3242187500000000e-01   9.9999988954107777e-01   5.9999999990713260e-01  -3.5865474567693938e-08   0.0000000000000000e+00   0.0000000000000000e+00
0062   2.3632812500000000e-01   9.9999991401884336e-01   5.9999999992811304e-01  -3.5950730654879707e-08   0.0000000000000000e+00   0.0000000000000000e+00
0063   2.4023437500000000e-01   9.9999993854674663e-01   5.9999999994750741e-01  -3.6014400661034626e-08   0.0000000000000000e+00   0.0000000000000000e+00
0064   2.4414062500000000e-01   9.9999996311497652e-01   5.9999999997021947e-01  -3.6056827255359692e-08   0.0000000000000000e+00   0.0000000000000000e+00
0065   2.4804687500000000e-01   9.9999998769385412e-01   5.9999999998139908e-01  -3.6078058185198036e-08   0.0000000000000000e+00   0.0000000000000000e+00
0066   2.5195312500000000e-01   1.0000000123061636e+00   6.0000000001858755e-01  -3.6078051753657094e-08   0.0000000000000000e+00   0.0000000000000000e+00
0067   2.5585937500000000e-01   1.0000000368850255e+00   6.0000000002976683e-01  -3.6056808525687859e-08   0.0000000000000000e+00   0.0000000000000000e+00
0068   2.5976562500000000e-01   1.0000000614532520e+00   6.0000000005248000e-01  -3.6014369235282091e-08   0.0000000000000000e+00   0.0000000000000000e+00
0069   2.6367187500000000e-01   1.0000000859811693e+00   6.0000000007187460e-01  -3.5950685921074490e-08   0.0000000000000000e+00   0.0000000000000000e+00
0070   2.6757812500000000e-01   1.0000001104589251e+00   6.0000000009285526e-01  -3.5865416853377744e-08   0.0000000000000000e+00   0.0000000000000000e+00
0071   2.7148437500000000e-01   1.0000001348700096e+00   6.0000000011364141e-01  -3.5758747452766392e-08   0.0000000000000000e+00   0.0000000000000000e+00
0072   2.7539062500000000e-01   1.0000001592001682e+00   6.0000000013467714e-01  -3.5630493870457482e-08   0.0000000000000000e+00   0.0000000000000000e+00
0073   2.7929687500000000e-01   1.0000001834345136e+00   6.0000000015571586e-01  -3.5480713167122495e-08   0.0000000000000000e+00   0.0000000000000000e+00
0074   2.8320312500000000e-01   1.0000002075584602e+00   6.0000000017675093e-01  -3.5309419954650449e-08   0.0000000000000000e+00   0.0000000000000000e+00
0075   2.8710937500000000e-01   1.0000002315574072e+00   6.0000000019772348e-01  -3.5116703918906264e-08   0.0000000000000000e+00   0.0000000000000000e+00
0076   2.9101562500000000e-01   1.0000002554169267e+00   6.0000000021861100e-01  -3.4902670198609790e-08   0.0000000000000000e+00   0.0000000000000000e+00
0077   2.9492187500000000e-01   1.0000002791226024e+00   6.0000000023939049e-01  -3.4667449850224703e-08   0.0000000000000000e+00   0.0000000000000000e+00
0078   2.9882812500000000e-01   1.0000003026601869e+00   6.0000000026004163e-01  -3.4411185992436872e-08   0.0000000000000000e+00   0.0000000000000000e+00
0079   3.0273437500000000e-01   1.0000003260154304e+00   6.0000000028054234e-01  -3.4134036201824828e-08   0.0000000000000000e+00   0.0000000000000000e+00
0080   3.0664062500000000e-01   1.0000003491742819e+00   6.0000000030087064e-01  -3.3836171637581172e-08   0.0000000000000000e+00   0.0000000000000000e+00
0081   3.1054687500000000e-01   1.0000003721228607e+00   6.0000000032100620e-01  -3.3517779973863520e-08   0.0000000000000000e+00   0.0000000000000000e+00
0082   3.1445312500000000e-01   1.0000003948472174e+00   6.0000000034093082e-01  -3.3179063868922978e-08   0.0000000000000000e+00   0.0000000000000000e+00
0083   3.1835937500000000e-01   1.0000004173337060e+00   6.0000000036062928e-01  -3.2820241453429746e-08   0.0000000000000000e+00   0.0000000000000000e+00
0084   3.2226562500000000e-01   1.0000004395687967e+00   6.0000000038008705e-01  -3.2441543584892360e-08   0.0000000000000000e+00   0.0000000000000000e+00
0085   3.2617187500000000e-01   1.0000004615390967e+00   6.0000000039929147e-01  -3.2043213940769328e-08   0.0000000000000000e+00   0.0000000000000000e+00
0086   3.3007812500000000e-01   1.0000004832313576e+00   6.0000000041823032e-01  -3.1625506734390340e-08   0.0000000000000000e+00   0.0000000000000000e+00
0087   3.3398437500000000e-01   1.0000005046325102e+00   6.0000000043689206e-01  -3.1188688126297286e-08   0.0000000000000000e+00   0.0000000000000000e+00
0088   3.3789062500000000e-01   1.0000005257296214e+00   6.0000000045526602e-01  -3.0733033767987629e-08   0.0000000000000000e+00   0.0000000000000000e+00
0089   3.4179687500000000e-01   1.0000005465100787e+00   6.0000000047334234e-01  -3.0258832388017646e-08   0.0000000000000000e+00   0.0000000000000000e+00
