# Athena++ data at time=7.519528e-01  cycle=385  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999903490628872e-01   6.0000003613609110e-01  -1.8997301504171710e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999903548775271e-01   6.0000003611445030e-01  -3.0490383204223155e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999903665034306e-01   6.0000003607119712e-01  -5.3655810441787507e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999903839337678e-01   6.0000003600637497e-01  -7.3389910951681742e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999904071546020e-01   6.0000003591967499e-01  -9.4631990551774355e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999904361541592e-01   6.0000003581137473e-01  -1.1557029489011224e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999904709132259e-01   6.0000003568136440e-01  -1.3664433539364978e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999905114114751e-01   6.0000003552978021e-01  -1.5760691107128479e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999905576243830e-01   6.0000003535670532e-01  -1.7846043892337239e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999906095245639e-01   6.0000003516228573e-01  -1.9916123554266764e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999906670810534e-01   6.0000003494666865e-01  -2.1970626843674808e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999907302594337e-01   6.0000003471001051e-01  -2.4009413332874703e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999907990217674e-01   6.0000003445246697e-01  -2.6032507738458728e-10   0.0000000000000000e+00   0.0000000000000000e+00
