# Athena++ data at time=1.797519e+02  cycle=92033  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999903474234086e-01   6.0000003597212370e-01  -1.8542456150779397e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999903532434053e-01   6.0000003595105056e-01  -2.9800402493228499e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999903648808808e-01   6.0000003590895334e-01  -5.2516241786901865e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999903823278724e-01   6.0000003584577366e-01  -7.1940269806678288e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999904055694533e-01   6.0000003576116956e-01  -9.2949830385586163e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999904345936341e-01   6.0000003565531657e-01  -1.1377802237167266e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999904693798247e-01   6.0000003552802494e-01  -1.3487109662124646e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999905099070918e-01   6.0000003537934143e-01  -1.5598758607296546e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999905561501723e-01   6.0000003520927014e-01  -1.7712364515969821e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999906080807066e-01   6.0000003501788834e-01  -1.9822418666615017e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999906656673532e-01   6.0000003480528918e-01  -2.1926780745551398e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999907288751977e-01   6.0000003457158968e-01  -2.4023301886589575e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999907976662816e-01   6.0000003431691940e-01  -2.6109953662848650e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999908719988817e-01   6.0000003404142266e-01  -2.8184554918243675e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999909518283836e-01   6.0000003374525723e-01  -3.0244763334703783e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999910371062328e-01   6.0000003342859798e-01  -3.2288413716892763e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999911277815212e-01   6.0000003309163608e-01  -3.4313491427214786e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999912237995470e-01   6.0000003273457825e-01  -3.6318217862865105e-10   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999913251025641e-01   6.0000003235764576e-01  -3.8300882886846884e-10   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999914316290595e-01   6.0000003196107299e-01  -4.0259875025692778e-10   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999915433158648e-01   6.0000003154510750e-01  -4.2193589051827667e-10   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999916600951022e-01   6.0000003111000899e-01  -4.4100620782300288e-10   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999917818968898e-01   6.0000003065604923e-01  -4.5979377324044238e-10   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999919086476186e-01   6.0000003018351300e-01  -4.7828689882374705e-10   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999920402714815e-01   6.0000002969269572e-01  -4.9647197524171670e-10   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999921766891231e-01   6.0000002918390438e-01  -5.1433733537310801e-10   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999923178185801e-01   6.0000002865745683e-01  -5.3187179462206808e-10   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999924635746562e-01   6.0000002811368069e-01  -5.4906461142329951e-10   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999926138696726e-01   6.0000002755291437e-01  -5.6590541511420904e-10   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999927686137591e-01   6.0000002697550592e-01  -5.8238458565906801e-10   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999929277130950e-01   6.0000002638181249e-01  -5.9849345202729471e-10   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999930910724444e-01   6.0000002577220068e-01  -6.1422289365680411e-10   0.0000000000000000e+00   0.0000000000000000e+00
0034   1.2695312500000000e-01   9.9999932585930151e-01   6.0000002514704620e-01  -6.2956492760702158e-10   0.0000000000000000e+00   0.0000000000000000e+00
0035   1.3085937500000000e-01   9.9999934301745785e-01   6.0000002450673329e-01  -6.4451139514159294e-10   0.0000000000000000e+00   0.0000000000000000e+00
0036   1.3476562500000000e-01   9.9999936057132432e-01   6.0000002385165441e-01  -6.5905466563197148e-10   0.0000000000000000e+00   0.0000000000000000e+00
0037   1.3867187500000000e-01   9.9999937851038379e-01   6.0000002318221002e-01  -6.7318722843679200e-10   0.0000000000000000e+00   0.0000000000000000e+00
0038   1.4257812500000000e-01   9.9999939682377792e-01   6.0000002249880890e-01  -6.8690304159868729e-10   0.0000000000000000e+00   0.0000000000000000e+00
0039   1.4648437500000000e-01   9.9999941550053828e-01   6.0000002180186740e-01  -7.0019449025915991e-10   0.0000000000000000e+00   0.0000000000000000e+00
0040   1.5039062500000000e-01   9.9999943452942675e-01   6.0000002109180872e-01  -7.1305546107256566e-10   0.0000000000000000e+00   0.0000000000000000e+00
0041   1.5429687500000000e-01   9.9999945389891254e-01   6.0000002036906430e-01  -7.2548002660112292e-10   0.0000000000000000e+00   0.0000000000000000e+00
0042   1.5820312500000000e-01   9.9999947359734831e-01   6.0000001963407168e-01  -7.3746147129117795e-10   0.0000000000000000e+00   0.0000000000000000e+00
0043   1.6210937500000000e-01   9.9999949361294094e-01   6.0000001888727550e-01  -7.4899434157338863e-10   0.0000000000000000e+00   0.0000000000000000e+00
0044   1.6601562500000000e-01   9.9999951393356057e-01   6.0000001812912673e-01  -7.6007303767780876e-10   0.0000000000000000e+00   0.0000000000000000e+00
0045   1.6992187500000000e-01   9.9999953454700474e-01   6.0000001736008290e-01  -7.7069160426280461e-10   0.0000000000000000e+00   0.0000000000000000e+00
0046   1.7382812500000000e-01   9.9999955544084917e-01   6.0000001658060786e-01  -7.8084568859290537e-10   0.0000000000000000e+00   0.0000000000000000e+00
0047   1.7773437500000000e-01   9.9999957660249450e-01   6.0000001579117102e-01  -7.9052899168206486e-10   0.0000000000000000e+00   0.0000000000000000e+00
0048   1.8164062500000000e-01   9.9999959801922100e-01   6.0000001499224742e-01  -7.9973766184746808e-10   0.0000000000000000e+00   0.0000000000000000e+00
0049   1.8554687500000000e-01   9.9999961967809070e-01   6.0000001418431770e-01  -8.0846601465437978e-10   0.0000000000000000e+00   0.0000000000000000e+00
0050   1.8945312500000000e-01   9.9999964156609777e-01   6.0000001336786724e-01  -8.1670959936853119e-10   0.0000000000000000e+00   0.0000000000000000e+00
0051   1.9335937500000000e-01   9.9999966367000548e-01   6.0000001254338642e-01  -8.2446443522375129e-10   0.0000000000000000e+00   0.0000000000000000e+00
0052   1.9726562500000000e-01   9.9999968597652700e-01   6.0000001171137096e-01  -8.3172565886542530e-10   0.0000000000000000e+00   0.0000000000000000e+00
0053   2.0117187500000000e-01   9.9999970847223263e-01   6.0000001087232080e-01  -8.3848934585731847e-10   0.0000000000000000e+00   0.0000000000000000e+00
0054   2.0507812500000000e-01   9.9999973114356400e-01   6.0000001002673964e-01  -8.4475202974029264e-10   0.0000000000000000e+00   0.0000000000000000e+00
0055   2.0898437500000000e-01   9.9999975397687069e-01   6.0000000917513485e-01  -8.5051011678334721e-10   0.0000000000000000e+00   0.0000000000000000e+00
0056   2.1289062500000000e-01   9.9999977695837583e-01   6.0000000831801803e-01  -8.5576009063652514e-10   0.0000000000000000e+00   0.0000000000000000e+00
0057   2.1679687500000000e-01   9.9999980007428080e-01   6.0000000745590343e-01  -8.6049838925661562e-10   0.0000000000000000e+00   0.0000000000000000e+00
0058   2.2070312500000000e-01   9.9999982331054948e-01   6.0000000658930974e-01  -8.6472304053103422e-10   0.0000000000000000e+00   0.0000000000000000e+00
0059   2.2460937500000000e-01   9.9999984665331321e-01   6.0000000571875511e-01  -8.6843128180891825e-10   0.0000000000000000e+00   0.0000000000000000e+00
0060   2.2851562500000000e-01   9.9999987008846536e-01   6.0000000484476912e-01  -8.7162139750215140e-10   0.0000000000000000e+00   0.0000000000000000e+00
0061   2.3242187500000000e-01   9.9999989360185249e-01   6.0000000396785758e-01  -8.7429150828972642e-10   0.0000000000000000e+00   0.0000000000000000e+00
0062   2.3632812500000000e-01   9.9999991717935433e-01   6.0000000308860246e-01  -8.7643758862542118e-10   0.0000000000000000e+00   0.0000000000000000e+00
0063   2.4023437500000000e-01   9.9999994080664156e-01   6.0000000220737659e-01  -8.7808106695020115e-10   0.0000000000000000e+00   0.0000000000000000e+00
0064   2.4414062500000000e-01   9.9999996446990724e-01   6.0000000132511089e-01  -8.7914645270066841e-10   0.0000000000000000e+00   0.0000000000000000e+00
0065   2.4804687500000000e-01   9.9999998815387170e-01   6.0000000044137380e-01  -8.7986032206283757e-10   0.0000000000000000e+00   0.0000000000000000e+00
0066   2.5195312500000000e-01   1.0000000118461714e+00   5.9999999955856242e-01  -8.7988627604142949e-10   0.0000000000000000e+00   0.0000000000000000e+00
0067   2.5585937500000000e-01   1.0000000355301135e+00   5.9999999867482767e-01  -8.7922442859996980e-10   0.0000000000000000e+00   0.0000000000000000e+00
0068   2.5976562500000000e-01   1.0000000591933580e+00   5.9999999779256263e-01  -8.7821062424921852e-10   0.0000000000000000e+00   0.0000000000000000e+00
0069   2.6367187500000000e-01   1.0000000828206710e+00   5.9999999691133665e-01  -8.7661914804828012e-10   0.0000000000000000e+00   0.0000000000000000e+00
0070   2.6757812500000000e-01   1.0000001063981954e+00   5.9999999603208287e-01  -8.7452448897031207e-10   0.0000000000000000e+00   0.0000000000000000e+00
0071   2.7148437500000000e-01   1.0000001299115586e+00   5.9999999515517255e-01  -8.7190559542194810e-10   0.0000000000000000e+00   0.0000000000000000e+00
0072   2.7539062500000000e-01   1.0000001533467329e+00   5.9999999428118800e-01  -8.6876601286623686e-10   0.0000000000000000e+00   0.0000000000000000e+00
0073   2.7929687500000000e-01   1.0000001766894715e+00   5.9999999341063548e-01  -8.6510728950448660e-10   0.0000000000000000e+00   0.0000000000000000e+00
0074   2.8320312500000000e-01   1.0000001999257819e+00   5.9999999254404379e-01  -8.6093151759647235e-10   0.0000000000000000e+00   0.0000000000000000e+00
0075   2.8710937500000000e-01   1.0000002230416776e+00   5.9999999168193152e-01  -8.5624034616254261e-10   0.0000000000000000e+00   0.0000000000000000e+00
0076   2.9101562500000000e-01   1.0000002460231181e+00   5.9999999082481681e-01  -8.5103716698290472e-10   0.0000000000000000e+00   0.0000000000000000e+00
0077   2.9492187500000000e-01   1.0000002688564449e+00   5.9999998997321380e-01  -8.4532398121790783e-10   0.0000000000000000e+00   0.0000000000000000e+00
0078   2.9882812500000000e-01   1.0000002915278210e+00   5.9999998912763430e-01  -8.3910423445208101e-10   0.0000000000000000e+00   0.0000000000000000e+00
0079   3.0273437500000000e-01   1.0000003140234892e+00   5.9999998828858592e-01  -8.3238171033203665e-10   0.0000000000000000e+00   0.0000000000000000e+00
0080   3.0664062500000000e-01   1.0000003363300281e+00   5.9999998745657235e-01  -8.2515991608447256e-10   0.0000000000000000e+00   0.0000000000000000e+00
0081   3.1054687500000000e-01   1.0000003584339894e+00   5.9999998663209342e-01  -8.1744255599046682e-10   0.0000000000000000e+00   0.0000000000000000e+00
0082   3.1445312500000000e-01   1.0000003803219615e+00   5.9999998581564473e-01  -8.0923386329438962e-10   0.0000000000000000e+00   0.0000000000000000e+00
0083   3.1835937500000000e-01   1.0000004019808062e+00   5.9999998500771634e-01  -8.0053860422770882e-10   0.0000000000000000e+00   0.0000000000000000e+00
0084   3.2226562500000000e-01   1.0000004233975375e+00   5.9999998420879408e-01  -7.9136067362559894e-10   0.0000000000000000e+00   0.0000000000000000e+00
0085   3.2617187500000000e-01   1.0000004445592152e+00   5.9999998341935867e-01  -7.8170534888002852e-10   0.0000000000000000e+00   0.0000000000000000e+00
0086   3.3007812500000000e-01   1.0000004654530352e+00   5.9999998263988508e-01  -7.7157808627927823e-10   0.0000000000000000e+00   0.0000000000000000e+00
0087   3.3398437500000000e-01   1.0000004860665024e+00   5.9999998187084280e-01  -7.6098261659234859e-10   0.0000000000000000e+00   0.0000000000000000e+00
0088   3.3789062500000000e-01   1.0000005063870652e+00   5.9999998111269515e-01  -7.4992556740342332e-10   0.0000000000000000e+00   0.0000000000000000e+00
0089   3.4179687500000000e-01   1.0000005264026424e+00   5.9999998036589985e-01  -7.3841218826085770e-10   0.0000000000000000e+00   0.0000000000000000e+00
0090   3.4570312500000000e-01   1.0000005461011172e+00   5.9999997963090790e-01  -7.2644755922214933e-10   0.0000000000000000e+00   0.0000000000000000e+00
