# Athena++ data at time=1.142519e+02  cycle=58497  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999896274175359e-01   5.9999996397147248e-01   1.8559513626806493e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999896336598282e-01   5.9999996399261912e-01   2.9760594191605968e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999896461406923e-01   5.9999996403486722e-01   5.2460221898992637e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999896648535336e-01   5.9999996409827139e-01   7.1857451448126680e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999896897902829e-01   5.9999996418317314e-01   9.2844308292499974e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999897209350286e-01   5.9999996428939328e-01   1.1364771852964847e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999897582714892e-01   5.9999996441711978e-01   1.3471292443863933e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999898017773403e-01   5.9999996456630211e-01   1.5579654443908873e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999898514274455e-01   5.9999996473693284e-01   1.7689281071095326e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999899071917409e-01   5.9999996492893037e-01   1.9794418475311000e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999899690370220e-01   5.9999996514219722e-01   2.1892918689192626e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999900369260319e-01   5.9999996537661149e-01   2.3982467196734075e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999901108181255e-01   5.9999996563203817e-01   2.6061042583198077e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999901906685673e-01   5.9999996590832827e-01   2.8126276936287996e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999902764294835e-01   5.9999996620531848e-01   3.0176015665133754e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999903680491065e-01   5.9999996652282983e-01   3.2207945685352661e-10   0.0000000000000000e+00   0.0000000000000000e+00
