# Athena++ data at time=2.501952e+00  cycle=1281  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999899790815816e-01   5.9999999913792401e-01  -4.4310154745815357e-10   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999899851193896e-01   5.9999999913860191e-01  -1.3302876352878258e-09   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999899971879547e-01   5.9999999913961688e-01  -2.2159657382702998e-09   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999900152823917e-01   5.9999999914119906e-01  -3.1006068677383927e-09   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999900393909424e-01   5.9999999914327373e-01  -3.9832600704528424e-09   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999900694994026e-01   5.9999999914586299e-01  -4.8635553535851442e-09   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999901055895846e-01   5.9999999914896440e-01  -5.7409057918055738e-09   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999901476397912e-01   5.9999999915257640e-01  -6.6148022368872408e-09   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999901956246651e-01   5.9999999915669844e-01  -7.4847114773470381e-09   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999902495153503e-01   5.9999999916132885e-01  -8.3501120223666193e-09   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999903092793563e-01   5.9999999916646496e-01  -9.2104827212813714e-09   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999903748806862e-01   5.9999999917210400e-01  -1.0065304610523394e-08   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999904462798450e-01   5.9999999917824309e-01  -1.0914064103597786e-08   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999905234338171e-01   5.9999999918487779e-01  -1.1756248992697500e-08   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999906062961397e-01   5.9999999919200431e-01  -1.2591352797821332e-08   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999906948168904e-01   5.9999999919961844e-01  -1.3418872263204788e-08   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999907889427353e-01   5.9999999920771507e-01  -1.4238308879948603e-08   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999908886169819e-01   5.9999999921628921e-01  -1.5049168772141171e-08   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999909937795506e-01   5.9999999922533565e-01  -1.5850963591820450e-08   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999911043671685e-01   5.9999999923484848e-01  -1.6643211044487570e-08   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999912203131491e-01   5.9999999924482184e-01  -1.7425432586466635e-08   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999913415477037e-01   5.9999999925524994e-01  -1.8197158427867389e-08   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999914679977886e-01   5.9999999926612635e-01  -1.8957922927183021e-08   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999915995872035e-01   5.9999999927744463e-01  -1.9707267776160885e-08   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999917362367341e-01   5.9999999928919812e-01  -2.0444741835624835e-08   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999918778640662e-01   5.9999999930137971e-01  -2.1169900789160558e-08   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999920243838358e-01   5.9999999931398196e-01  -2.1882307657990386e-08   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999921757078059e-01   5.9999999932699744e-01  -2.2581533506592549e-08   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999923317448691e-01   5.9999999934041837e-01  -2.3267157705877044e-08   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999924924010009e-01   5.9999999935423676e-01  -2.3938766710908815e-08   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999926575794085e-01   5.9999999936844384e-01  -2.4595956382867127e-08   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999928271806549e-01   5.9999999938303161e-01  -2.5238331000319901e-08   0.0000000000000000e+00   0.0000000000000000e+00
