# Athena++ data at time=1.737519e+02  cycle=88961  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999903474745999e-01   6.0000003597724150e-01  -1.8541573886219251e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999903532945134e-01   6.0000003595616225e-01  -2.9788963277849493e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999903649318722e-01   6.0000003591405260e-01  -5.2497636170131903e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999903823786662e-01   6.0000003585085460e-01  -7.1914199995905167e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999904056199962e-01   6.0000003576622574e-01  -9.2916334076030116e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999904346438917e-01   6.0000003566034255e-01  -1.1373810600374571e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999904694297126e-01   6.0000003553301529e-01  -1.3482472360176425e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999905099565334e-01   6.0000003538429036e-01  -1.5593412383125831e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999905561991853e-01   6.0000003521417289e-01  -1.7706335538467741e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999906081292134e-01   6.0000003502274002e-01  -1.9815643702471163e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999906657152882e-01   6.0000003481008513e-01  -2.1919222652283967e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999907289225742e-01   6.0000003457632578e-01  -2.4014852747333981e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999907977129976e-01   6.0000003432159188e-01  -2.6100583809570630e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999908720449426e-01   6.0000003404602797e-01  -2.8174145280456564e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999909518737529e-01   6.0000003374979227e-01  -3.0233258188249887e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999910371508527e-01   6.0000003343306008e-01  -3.2275731269867948e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999911278253817e-01   6.0000003309602246e-01  -3.4299564801289799e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999912238426347e-01   6.0000003273888713e-01  -3.6302957837343760e-10   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999913251448247e-01   6.0000003236187538e-01  -3.8284233782271336e-10   0.0000000000000000e+00   0.0000000000000000e+00
