# Athena++ data at time=8.775191e+01  cycle=44929  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999903482201469e-01   6.0000003605181229e-01  -1.8560518139756860e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999903540392454e-01   6.0000003603062846e-01  -2.9716480395297813e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999903656744049e-01   6.0000003598830276e-01  -5.2390768687286693e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999903831179127e-01   6.0000003592478424e-01  -7.1755813881646462e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999904063551293e-01   6.0000003583973105e-01  -9.2711167129962925e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999904353736446e-01   6.0000003573332494e-01  -1.1347968337070309e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999904701533904e-01   6.0000003560537940e-01  -1.3450698209848835e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999905106730913e-01   6.0000003545594671e-01  -1.5554723909883147e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999905569078074e-01   6.0000003528503754e-01  -1.7659485962142140e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999906088292012e-01   6.0000003509273558e-01  -1.9759151700260195e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999906664058924e-01   6.0000003487914222e-01  -2.1851495302881937e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999907296030499e-01   6.0000003464438179e-01  -2.3934207883086239e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999907983829939e-01   6.0000003438859295e-01  -2.6005231387675327e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999908727039588e-01   6.0000003411192748e-01  -2.8062317777015274e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999909525212982e-01   6.0000003381455180e-01  -3.0103206871465729e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999910377868562e-01   6.0000003349664843e-01  -3.2125752277841986e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999911284493503e-01   6.0000003315841643e-01  -3.4128043847421814e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999912244544376e-01   6.0000003280007019e-01  -3.6108388836749968e-10   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999913257444939e-01   6.0000003242183730e-01  -3.8065304538475147e-10   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999914322579597e-01   6.0000003202395880e-01  -3.9997254158083615e-10   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999915439316278e-01   6.0000003160668725e-01  -4.1902945582081691e-10   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999916606979233e-01   6.0000003117028722e-01  -4.3781105185997448e-10   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999917824866169e-01   6.0000003071503472e-01  -4.5630445735595939e-10   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999919092246881e-01   6.0000003024121662e-01  -4.7449925264466758e-10   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999920408358167e-01   6.0000002974913147e-01  -4.9238492219108554e-10   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999921772410805e-01   6.0000002923908735e-01  -5.0995155143568027e-10   0.0000000000000000e+00   0.0000000000000000e+00
