# Athena++ data at time=1.200195e+01  cycle=6145  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999899963327221e-01   6.0000000086303806e-01   4.4300930982479516e-10   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999900023569310e-01   6.0000000086235772e-01   1.3300123032218420e-09   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999900144051335e-01   6.0000000086133731e-01   2.2155073435574508e-09   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999900324678981e-01   6.0000000085974792e-01   3.0999658396276166e-09   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999900565348354e-01   6.0000000085766458e-01   3.9824374280394824e-09   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999900865914393e-01   6.0000000085506566e-01   4.8625521607015456e-09   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999901226194809e-01   6.0000000085195471e-01   5.7397232898126627e-09   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999901645973077e-01   6.0000000084833283e-01   6.6134413119853924e-09   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999902124997009e-01   6.0000000084420158e-01   7.4831741428647897e-09   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999902662976436e-01   6.0000000083956317e-01   8.3483989152718579e-09   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999903259589262e-01   6.0000000083441984e-01   9.2085944337676977e-09   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999903914473531e-01   6.0000000082877447e-01   1.0063243425859455e-08   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999904627237279e-01   6.0000000082263005e-01   1.0911830320683042e-08   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999905397449373e-01   6.0000000081599025e-01   1.1753844539536764e-08   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999906224646862e-01   6.0000000080885896e-01   1.2588778866445632e-08   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999907108331043e-01   6.0000000080123994e-01   1.3416130461505451e-08   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999908047969521e-01   6.0000000079313798e-01   1.4235401163796925e-08   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999909042996293e-01   6.0000000078455806e-01   1.5046097642525742e-08   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999910092812361e-01   6.0000000077550497e-01   1.5847731656998205e-08   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999911196784919e-01   6.0000000076598392e-01   1.6639820276229836e-08   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999912354249065e-01   6.0000000075600124e-01   1.7421885759963594e-08   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999913564508369e-01   6.0000000074556226e-01   1.8193457448038775e-08   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999914826832881e-01   6.0000000073467386e-01   1.8954070106821805e-08   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999916140461831e-01   6.0000000072334247e-01   1.9703264954247131e-08   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999917504604730e-01   6.0000000071157455e-01   2.0440590569115051e-08   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999918918440600e-01   6.0000000069937742e-01   2.1165602492294773e-08   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999920381116902e-01   6.0000000068675874e-01   2.1877863307945411e-08   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999921891750609e-01   6.0000000067372616e-01   2.2576943539901655e-08   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999923449435846e-01   6.0000000066028769e-01   2.3262422319891557e-08   0.0000000000000000e+00   0.0000000000000000e+00
