# Athena++ data at time=3.325194e+01  cycle=17025  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999896266878419e-01   5.9999996389851595e-01   1.8658813848201821e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999896329319338e-01   5.9999996391981958e-01   2.9869943758121974e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999896454159931e-01   5.9999996396238853e-01   5.2652228762042589e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999896641333441e-01   5.9999996402626399e-01   7.2097501500712510e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999896890763784e-01   5.9999996411178713e-01   9.3124236550603508e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999897202287713e-01   5.9999996421876600e-01   1.1394400933604036e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999897575740537e-01   5.9999996434737890e-01   1.3500001131185951e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999898010899191e-01   5.9999996449756177e-01   1.5604401607120598e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999898507510054e-01   5.9999996466929328e-01   1.7706839137850153e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999899065271625e-01   5.9999996486247487e-01   1.9801272843901424e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999899683850457e-01   5.9999996507699349e-01   2.1885584403166229e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999900362869831e-01   5.9999996531271038e-01   2.3957418160055296e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999901101924238e-01   5.9999996556947399e-01   2.6014838231009552e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999901900565202e-01   5.9999996584711979e-01   2.8055867733806555e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999902758310322e-01   5.9999996614546980e-01   3.0078355648330631e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999903674642721e-01   5.9999996646433096e-01   3.2080551299532151e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999904649007565e-01   5.9999996680349565e-01   3.4060776992513919e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999905680816992e-01   5.9999996716274218e-01   3.6017759800709877e-10   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999906769447533e-01   5.9999996754183660e-01   3.7950352065319030e-10   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999907914241437e-01   5.9999996794053445e-01   3.9857456490631804e-10   0.0000000000000000e+00   0.0000000000000000e+00
