# Athena++ data at time=1.205019e+02  cycle=61697  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999899789623925e-01   5.9999999912598867e-01  -4.4196856052028076e-10   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999899850000629e-01   5.9999999912667745e-01  -1.3269035777426602e-09   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999899970688166e-01   5.9999999912771429e-01  -2.2103287420049385e-09   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999900151637366e-01   5.9999999912932789e-01  -3.0927212494193226e-09   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999900392726304e-01   5.9999999913144320e-01  -3.9731310372258786e-09   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999900693815957e-01   5.9999999913408086e-01  -4.8511899362805586e-09   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999901054723550e-01   5.9999999913723734e-01  -5.7263119128405319e-09   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999901475231101e-01   5.9999999914091029e-01  -6.5979905360707161e-09   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999901955087445e-01   5.9999999914509816e-01  -7.4656941941240024e-09   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999902494000870e-01   5.9999999914979818e-01  -8.3289034056743816e-09   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999903091648334e-01   5.9999999915500735e-01  -9.1870982471783799e-09   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999903747668495e-01   5.9999999916072244e-01  -1.0039763143044932e-08   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999904461668454e-01   5.9999999916694013e-01  -1.0886385584907699e-08   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999905233215514e-01   5.9999999917365632e-01  -1.1726456976501445e-08   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999906061847121e-01   5.9999999918086699e-01  -1.2559473629755658e-08   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999906947062100e-01   5.9999999918856761e-01  -1.3384934633784909e-08   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999907888329098e-01   5.9999999919675362e-01  -1.4202345016775558e-08   0.0000000000000000e+00   0.0000000000000000e+00
