# Athena++ data at time=1.935019e+02  cycle=99073  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999899788896229e-01   5.9999999911870527e-01  -4.4126456142332066e-10   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999899849272167e-01   5.9999999911939583e-01  -1.3247936301034162e-09   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999899969960526e-01   5.9999999912043622e-01  -2.2068172759877637e-09   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999900150910703e-01   5.9999999912205570e-01  -3.0878137012887861e-09   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999900391999164e-01   5.9999999912417878e-01  -3.9668355234106586e-09   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999900693090793e-01   5.9999999912682633e-01  -4.8435161740694287e-09   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999901053999440e-01   5.9999999912999458e-01  -5.7172730827412887e-09   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999901474508668e-01   5.9999999913368174e-01  -6.5876004877889100e-09   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999901954367354e-01   5.9999999913788682e-01  -7.4539690857699095e-09   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999902493282034e-01   5.9999999914260693e-01  -8.3158611449509948e-09   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999903090932041e-01   5.9999999914783964e-01  -9.1727582678472658e-09   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999903746954644e-01   5.9999999915358215e-01  -1.0024145808844223e-08   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999904460956934e-01   5.9999999915983115e-01  -1.0869513269978730e-08   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999905232507991e-01   5.9999999916658342e-01  -1.1708351569259069e-08   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999906061145039e-01   5.9999999917383517e-01  -1.2540158283922905e-08   0.0000000000000000e+00   0.0000000000000000e+00
