# Athena++ data at time=8.650191e+01  cycle=44289  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999899789962388e-01   5.9999999912938362e-01  -4.4230214013448668e-10   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999899850340357e-01   5.9999999913007074e-01  -1.3279018946859996e-09   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999899971027739e-01   5.9999999913110391e-01  -2.2119908664123844e-09   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999900151975729e-01   5.9999999913271262e-01  -3.0950454689635020e-09   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999900393064067e-01   5.9999999913482160e-01  -3.9761142249109266e-09   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999900694152866e-01   5.9999999913745139e-01  -4.8548284813171823e-09   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999901055059470e-01   5.9999999914059898e-01  -5.7306009012197733e-09   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999901475565822e-01   5.9999999914426150e-01  -6.6029238995099073e-09   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999901955421422e-01   5.9999999914843793e-01  -7.4712655297180035e-09   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999902494334159e-01   5.9999999915312552e-01  -8.3351046346738298e-09   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999903091979925e-01   5.9999999915832147e-01  -9.1939208071760506e-09   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999903747997609e-01   5.9999999916402225e-01  -1.0047197131086282e-08   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999904461996147e-01   5.9999999917022484e-01  -1.0894420986929564e-08   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999905233542241e-01   5.9999999917692493e-01  -1.1735082475140427e-08   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999906062172506e-01   5.9999999918411817e-01  -1.2568676716111225e-08   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999906947386463e-01   5.9999999919179992e-01  -1.3394702836856243e-08   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999907888651007e-01   5.9999999919996561e-01  -1.4212665195594848e-08   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999908885400757e-01   5.9999999920860991e-01  -1.5022072448246474e-08   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999909937036224e-01   5.9999999921772773e-01  -1.5822439374789549e-08   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999911042917200e-01   5.9999999922731306e-01  -1.6613285951800870e-08   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999912202385643e-01   5.9999999923736036e-01  -1.7394137843996633e-08   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999913414738906e-01   5.9999999924786374e-01  -1.8164526750227182e-08   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999914679246127e-01   5.9999999925881720e-01  -1.8923991460954309e-08   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999915995148303e-01   5.9999999927021430e-01  -1.9672076237121911e-08   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999917361651114e-01   5.9999999928204872e-01  -2.0408332359750711e-08   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999918777934660e-01   5.9999999929431402e-01  -2.1132317858133118e-08   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999920243141638e-01   5.9999999930700365e-01  -2.1843598546291776e-08   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999921756390109e-01   5.9999999932011128e-01  -2.2541746306971178e-08   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999923316769745e-01   5.9999999933362991e-01  -2.3226341478395178e-08   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999924923341965e-01   5.9999999934755233e-01  -2.3896971371201343e-08   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999926575136877e-01   5.9999999936187232e-01  -2.4553230355051269e-08   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999928271161187e-01   5.9999999937658266e-01  -2.5194722483721553e-08   0.0000000000000000e+00   0.0000000000000000e+00
0034   1.2695312500000000e-01   9.9999930010393001e-01   5.9999999939167659e-01  -2.5821057829187612e-08   0.0000000000000000e+00   0.0000000000000000e+00
0035   1.3085937500000000e-01   9.9999931791786623e-01   5.9999999940714677e-01  -2.6431856272250066e-08   0.0000000000000000e+00   0.0000000000000000e+00
0036   1.3476562500000000e-01   9.9999933614265457e-01   5.9999999942298587e-01  -2.7026744518115742e-08   0.0000000000000000e+00   0.0000000000000000e+00
0037   1.3867187500000000e-01   9.9999935476734525e-01   5.9999999943918636e-01  -2.7605359488365303e-08   0.0000000000000000e+00   0.0000000000000000e+00
0038   1.4257812500000000e-01   9.9999937378071613e-01   5.9999999945574067e-01  -2.8167344900904653e-08   0.0000000000000000e+00   0.0000000000000000e+00
0039   1.4648437500000000e-01   9.9999939317131292e-01   5.9999999947264093e-01  -2.8712354636380641e-08   0.0000000000000000e+00   0.0000000000000000e+00
0040   1.5039062500000000e-01   9.9999941292747629e-01   5.9999999948987826e-01  -2.9240051751707961e-08   0.0000000000000000e+00   0.0000000000000000e+00
0041   1.5429687500000000e-01   9.9999943303726846e-01   5.9999999950744454e-01  -2.9750107797812703e-08   0.0000000000000000e+00   0.0000000000000000e+00
0042   1.5820312500000000e-01   9.9999945348860309e-01   5.9999999952533045e-01  -3.0242205533929498e-08   0.0000000000000000e+00   0.0000000000000000e+00
0043   1.6210937500000000e-01   9.9999947426916391e-01   5.9999999954352601e-01  -3.0716035612862864e-08   0.0000000000000000e+00   0.0000000000000000e+00
0044   1.6601562500000000e-01   9.9999949536644184e-01   5.9999999956202099e-01  -3.1171300761175581e-08   0.0000000000000000e+00   0.0000000000000000e+00
