# Athena++ data at time=6.875192e+01  cycle=35201  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999903483896591e-01   6.0000003606876440e-01  -1.8581510775219774e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999903542085045e-01   6.0000003604754881e-01  -2.9741047397875305e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999903658429945e-01   6.0000003600515750e-01  -5.2433515196615597e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999903832854387e-01   6.0000003594154216e-01  -7.1809401308162743e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999904065214062e-01   6.0000003585636053e-01  -9.2773883102958453e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999904355384017e-01   6.0000003574979655e-01  -1.1354687260794764e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999904703162512e-01   6.0000003562166548e-01  -1.3457294656613941e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999905108338039e-01   6.0000003547202241e-01  -1.5560654192187822e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999905570662562e-01   6.0000003530087997e-01  -1.7664068584047767e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999906089851032e-01   6.0000003510832534e-01  -1.9761679124197853e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999906665590632e-01   6.0000003489446230e-01  -2.1851267479862735e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999907297534574e-01   6.0000003465941898e-01  -2.3930524801244020e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999907985304448e-01   6.0000003440333682e-01  -2.5997475034874219e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999908728484499e-01   6.0000003412637093e-01  -2.8049777038214804e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999909526626729e-01   6.0000003382869038e-01  -3.0085267533126601e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999910379251788e-01   6.0000003351048092e-01  -3.2101882125292862e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999911285846643e-01   6.0000003317194384e-01  -3.4097706976166489e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999912245866684e-01   6.0000003281329584e-01  -3.6071198400972376e-10   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999913258736950e-01   6.0000003243476685e-01  -3.8020896080867389e-10   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999914323843841e-01   6.0000003203659924e-01  -3.9945393651313431e-10   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999915440552078e-01   6.0000003161904691e-01  -4.1843466093562115e-10   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999916608188022e-01   6.0000003118237488e-01  -4.3713862170360903e-10   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999917826048079e-01   6.0000003072686026e-01  -4.5555469783153821e-10   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999919093404777e-01   6.0000003025279025e-01  -4.7367269351905056e-10   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999920409491294e-01   6.0000002976046241e-01  -4.9148298769388975e-10   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999921773520684e-01   6.0000002925018514e-01  -5.0897629946381025e-10   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999923184667661e-01   6.0000002872227565e-01  -5.2614420298846428e-10   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999924642084259e-01   6.0000002817706111e-01  -5.4297871542501996e-10   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999926144893514e-01   6.0000002761487725e-01  -5.5947103261448927e-10   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999927692192692e-01   6.0000002703606936e-01  -5.7561399513026384e-10   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999929283048394e-01   6.0000002644099137e-01  -5.9140023758439343e-10   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999930916503676e-01   6.0000002583000567e-01  -6.0682198227712443e-10   0.0000000000000000e+00   0.0000000000000000e+00
0034   1.2695312500000000e-01   9.9999932591574336e-01   6.0000002520348339e-01  -6.2187206751304598e-10   0.0000000000000000e+00   0.0000000000000000e+00
0035   1.3085937500000000e-01   9.9999934307252980e-01   6.0000002456180390e-01  -6.3654345380758310e-10   0.0000000000000000e+00   0.0000000000000000e+00
0036   1.3476562500000000e-01   9.9999936062502792e-01   6.0000002390535478e-01  -6.5082840030375656e-10   0.0000000000000000e+00   0.0000000000000000e+00
0037   1.3867187500000000e-01   9.9999937856269794e-01   6.0000002323453194e-01  -6.6472077632501605e-10   0.0000000000000000e+00   0.0000000000000000e+00
0038   1.4257812500000000e-01   9.9999939687472639e-01   6.0000002254973872e-01  -6.7821245504482332e-10   0.0000000000000000e+00   0.0000000000000000e+00
0039   1.4648437500000000e-01   9.9999941555006833e-01   6.0000002185138690e-01  -6.9129653088110238e-10   0.0000000000000000e+00   0.0000000000000000e+00
0040   1.5039062500000000e-01   9.9999943457750162e-01   6.0000002113989537e-01  -7.0396614674463299e-10   0.0000000000000000e+00   0.0000000000000000e+00
0041   1.5429687500000000e-01   9.9999945394552336e-01   6.0000002041569112e-01  -7.1621433336372304e-10   0.0000000000000000e+00   0.0000000000000000e+00
0042   1.5820312500000000e-01   9.9999947364249719e-01   6.0000001967920824e-01  -7.2803415293481137e-10   0.0000000000000000e+00   0.0000000000000000e+00
0043   1.6210937500000000e-01   9.9999949365654617e-01   6.0000001893088806e-01  -7.3941866289440841e-10   0.0000000000000000e+00   0.0000000000000000e+00
0044   1.6601562500000000e-01   9.9999951397561648e-01   6.0000001817117898e-01  -7.5036144503988107e-10   0.0000000000000000e+00   0.0000000000000000e+00
0045   1.6992187500000000e-01   9.9999953458747282e-01   6.0000001740053666e-01  -7.6085557652479665e-10   0.0000000000000000e+00   0.0000000000000000e+00
0046   1.7382812500000000e-01   9.9999955547965291e-01   6.0000001661942270e-01  -7.7089484292275167e-10   0.0000000000000000e+00   0.0000000000000000e+00
0047   1.7773437500000000e-01   9.9999957663963146e-01   6.0000001582830564e-01  -7.8047298355559268e-10   0.0000000000000000e+00   0.0000000000000000e+00
0048   1.8164062500000000e-01   9.9999959805461147e-01   6.0000001502766032e-01  -7.8958450848686467e-10   0.0000000000000000e+00   0.0000000000000000e+00
0049   1.8554687500000000e-01   9.9999961971174167e-01   6.0000001421796678e-01  -7.9822317539994786e-10   0.0000000000000000e+00   0.0000000000000000e+00
0050   1.8945312500000000e-01   9.9999964159793253e-01   6.0000001339971110e-01  -8.0638386386010439e-10   0.0000000000000000e+00   0.0000000000000000e+00
0051   1.9335937500000000e-01   9.9999966369999505e-01   6.0000001257338542e-01  -8.1406091744365306e-10   0.0000000000000000e+00   0.0000000000000000e+00
0052   1.9726562500000000e-01   9.9999968600464162e-01   6.0000001173948581e-01  -8.2125014420251575e-10   0.0000000000000000e+00   0.0000000000000000e+00
0053   2.0117187500000000e-01   9.9999970849842568e-01   6.0000001089851329e-01  -8.2794646552385678e-10   0.0000000000000000e+00   0.0000000000000000e+00
0054   2.0507812500000000e-01   9.9999973116780572e-01   6.0000001005097447e-01  -8.3414585680989724e-10   0.0000000000000000e+00   0.0000000000000000e+00
0055   2.0898437500000000e-01   9.9999975399912411e-01   6.0000000919737884e-01  -8.3984412888559308e-10   0.0000000000000000e+00   0.0000000000000000e+00
0056   2.1289062500000000e-01   9.9999977697860265e-01   6.0000000833824052e-01  -8.4503787776329553e-10   0.0000000000000000e+00   0.0000000000000000e+00
0057   2.1679687500000000e-01   9.9999980009243761e-01   6.0000000747407622e-01  -8.4972454785196905e-10   0.0000000000000000e+00   0.0000000000000000e+00
0058   2.2070312500000000e-01   9.9999982332664461e-01   6.0000000660540720e-01  -8.5390067728501761e-10   0.0000000000000000e+00   0.0000000000000000e+00
0059   2.2460937500000000e-01   9.9999984666730357e-01   6.0000000573275514e-01  -8.5756380193502015e-10   0.0000000000000000e+00   0.0000000000000000e+00
0060   2.2851562500000000e-01   9.9999987010034308e-01   6.0000000485665195e-01  -8.6071272807505040e-10   0.0000000000000000e+00   0.0000000000000000e+00
0061   2.3242187500000000e-01   9.9999989361159114e-01   6.0000000397760644e-01  -8.6334509266915019e-10   0.0000000000000000e+00   0.0000000000000000e+00
0062   2.3632812500000000e-01   9.9999991718697001e-01   6.0000000309620483e-01  -8.6545750321522060e-10   0.0000000000000000e+00   0.0000000000000000e+00
0063   2.4023437500000000e-01   9.9999994081209087e-01   6.0000000221281835e-01  -8.6707109147512068e-10   0.0000000000000000e+00   0.0000000000000000e+00
0064   2.4414062500000000e-01   9.9999996447318473e-01   6.0000000132839271e-01  -8.6811070118531624e-10   0.0000000000000000e+00   0.0000000000000000e+00
0065   2.4804687500000000e-01   9.9999998815496272e-01   6.0000000044246882e-01  -8.6880536408405924e-10   0.0000000000000000e+00   0.0000000000000000e+00
0066   2.5195312500000000e-01   1.0000000118451309e+00   5.9999999955751149e-01  -8.6881462772904508e-10   0.0000000000000000e+00   0.0000000000000000e+00
0067   2.5585937500000000e-01   1.0000000355268881e+00   5.9999999867158849e-01  -8.6813890413124844e-10   0.0000000000000000e+00   0.0000000000000000e+00
0068   2.5976562500000000e-01   1.0000000591879765e+00   5.9999999778716295e-01  -8.6711768143117394e-10   0.0000000000000000e+00   0.0000000000000000e+00
0069   2.6367187500000000e-01   1.0000000828131033e+00   5.9999999690377626e-01  -8.6552245383252163e-10   0.0000000000000000e+00   0.0000000000000000e+00
0070   2.6757812500000000e-01   1.0000001063884778e+00   5.9999999602237453e-01  -8.6342860545060961e-10   0.0000000000000000e+00   0.0000000000000000e+00
0071   2.7148437500000000e-01   1.0000001298997312e+00   5.9999999514332880e-01  -8.6081459899917915e-10   0.0000000000000000e+00   0.0000000000000000e+00
0072   2.7539062500000000e-01   1.0000001533327563e+00   5.9999999426722583e-01  -8.5768427828911754e-10   0.0000000000000000e+00   0.0000000000000000e+00
0073   2.7929687500000000e-01   1.0000001766734061e+00   5.9999999339457333e-01  -8.5403919091017453e-10   0.0000000000000000e+00   0.0000000000000000e+00
0074   2.8320312500000000e-01   1.0000001999076478e+00   5.9999999252590452e-01  -8.4988072098566352e-10   0.0000000000000000e+00   0.0000000000000000e+00
0075   2.8710937500000000e-01   1.0000002230214566e+00   5.9999999166174034e-01  -8.4521156021406074e-10   0.0000000000000000e+00   0.0000000000000000e+00
0076   2.9101562500000000e-01   1.0000002460009445e+00   5.9999999080260213e-01  -8.4003442929730493e-10   0.0000000000000000e+00   0.0000000000000000e+00
0077   2.9492187500000000e-01   1.0000002688322476e+00   5.9999998994900672e-01  -8.3435233475266667e-10   0.0000000000000000e+00   0.0000000000000000e+00
0078   2.9882812500000000e-01   1.0000002915016510e+00   5.9999998910146801e-01  -8.2816846077946554e-10   0.0000000000000000e+00   0.0000000000000000e+00
0079   3.0273437500000000e-01   1.0000003139954134e+00   5.9999998826049583e-01  -8.2148722372397027e-10   0.0000000000000000e+00   0.0000000000000000e+00
0080   3.0664062500000000e-01   1.0000003363000376e+00   5.9999998742659644e-01  -8.1431209285553755e-10   0.0000000000000000e+00   0.0000000000000000e+00
0081   3.1054687500000000e-01   1.0000003584021500e+00   5.9999998660027076e-01  -8.0664811291027964e-10   0.0000000000000000e+00   0.0000000000000000e+00
0082   3.1445312500000000e-01   1.0000003802883259e+00   5.9999998578201530e-01  -7.9849985163262761e-10   0.0000000000000000e+00   0.0000000000000000e+00
0083   3.1835937500000000e-01   1.0000004019454130e+00   5.9999998497232176e-01  -7.8987267048967044e-10   0.0000000000000000e+00   0.0000000000000000e+00
