# Athena++ data at time=3.550194e+01  cycle=18177  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999899790477720e-01   5.9999999913454238e-01  -4.4278673012420586e-10   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999899850856622e-01   5.9999999913522506e-01  -1.3293509700156198e-09   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999899971542472e-01   5.9999999913624891e-01  -2.2144070745456379e-09   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999900152487975e-01   5.9999999913784419e-01  -3.0984282904838920e-09   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999900393575047e-01   5.9999999913993518e-01  -3.9804639243563783e-09   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999900694662092e-01   5.9999999914254376e-01  -4.8601445043975088e-09   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999901055565976e-01   5.9999999914566615e-01  -5.7368830673064013e-09   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999901476069930e-01   5.9999999914930080e-01  -6.6101711348212598e-09   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999901955922244e-01   5.9999999915344671e-01  -7.4794753830290378e-09   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999902494831150e-01   5.9999999915810087e-01  -8.3442740969257219e-09   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999903092474118e-01   5.9999999916326141e-01  -9.2040460879405660e-09   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999903748488561e-01   5.9999999916892555e-01  -1.0058272242837312e-08   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999904462483025e-01   5.9999999917509017e-01  -1.0906438564665032e-08   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999905234025632e-01   5.9999999918175173e-01  -1.1748033590096442e-08   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999906062651323e-01   5.9999999918890623e-01  -1.2582550018870188e-08   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999906947861983e-01   5.9999999919654956e-01  -1.3409484743618088e-08   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999907889123041e-01   5.9999999920467706e-01  -1.4228339813657287e-08   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999908885868916e-01   5.9999999921328417e-01  -1.5038621389716687e-08   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999909937498022e-01   5.9999999922236491e-01  -1.5839841495783552e-08   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999911043377510e-01   5.9999999923191416e-01  -1.6631517836757294e-08   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999912202841190e-01   5.9999999924192549e-01  -1.7413174029204460e-08   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999913415191255e-01   5.9999999925239267e-01  -1.8184339984601052e-08   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999914679695401e-01   5.9999999926330927e-01  -1.8944551960908008e-08   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999915995594213e-01   5.9999999927466807e-01  -1.9693353102277613e-08   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999917362093094e-01   5.9999999928646197e-01  -2.0430294914134410e-08   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999918778371100e-01   5.9999999929868342e-01  -2.1154934085416661e-08   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999920243573959e-01   5.9999999931132453e-01  -2.1866836654523283e-08   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999921756815724e-01   5.9999999932437731e-01  -2.2565576591351161e-08   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999923317190209e-01   5.9999999933783410e-01  -2.3250734607493266e-08   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999924923754691e-01   5.9999999935168613e-01  -2.3921901367406813e-08   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999926575541831e-01   5.9999999936592519e-01  -2.4578674892602062e-08   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999928271558181e-01   5.9999999938054327e-01  -2.5220662218082919e-08   0.0000000000000000e+00   0.0000000000000000e+00
