# Athena++ data at time=4.825193e+01  cycle=24705  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999896268282973e-01   5.9999996391255994e-01   1.8621046005846722e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999896330719207e-01   5.9999996393382016e-01   2.9808611990500805e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999896455551218e-01   5.9999996397630140e-01   5.2548519554507555e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999896642711594e-01   5.9999996404004852e-01   7.1961884379393062e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999896892125562e-01   5.9999996412540346e-01   9.2960810761471902e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999897203629218e-01   5.9999996423217838e-01   1.1376078622291973e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999897577058150e-01   5.9999996436055592e-01   1.3480608296273964e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999898012190191e-01   5.9999996451047666e-01   1.5584944351652591e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999898508773366e-01   5.9999996468192340e-01   1.7688401832224940e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999899066504783e-01   5.9999996487480456e-01   1.9785018125318914e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999899685052196e-01   5.9999996508901188e-01   2.1872600426732076e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999900364039662e-01   5.9999996532441180e-01   2.3948774482291190e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999901103062350e-01   5.9999996558085844e-01   2.6011589535245674e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999901901672039e-01   5.9999996585819193e-01   2.8058863825278475e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999902759387560e-01   5.9999996615623896e-01   3.0088431458651954e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999903675690149e-01   5.9999996647481013e-01   3.2098288449187721e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999904650027494e-01   5.9999996681370005e-01   3.4086757130188728e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999905681810897e-01   5.9999996717268966e-01   3.6052314989028404e-10   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999906770418834e-01   5.9999996755154672e-01   3.7993568506136614e-10   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999907915190911e-01   5.9999996795002708e-01   3.9909364529417181e-10   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999909115438290e-01   5.9999996836787584e-01   4.1798551115332482e-10   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999910370435952e-01   5.9999996880482720e-01   4.3660036070014570e-10   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999911679426357e-01   5.9999996926060428e-01   4.5492845126931612e-10   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999913041620725e-01   5.9999996973492109e-01   4.7295989739182256e-10   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999914456196215e-01   5.9999997022748019e-01   4.9068658599644759e-10   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999915922301530e-01   5.9999997073797573e-01   5.0810036188900888e-10   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999917439051567e-01   5.9999997126609228e-01   5.2519307171647985e-10   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999919005529847e-01   5.9999997181150477e-01   5.4195697602302206e-10   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999920620794858e-01   5.9999997237387970e-01   5.5838444881854368e-10   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999922283873999e-01   5.9999997295287455e-01   5.7446838022910504e-10   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999923993763240e-01   5.9999997354813772e-01   5.9020097221299079e-10   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999925749434648e-01   5.9999997415930928e-01   6.0557450374932216e-10   0.0000000000000000e+00   0.0000000000000000e+00
0034   1.2695312500000000e-01   9.9999927549828127e-01   5.9999997478602085e-01   6.2058175549844260e-10   0.0000000000000000e+00   0.0000000000000000e+00
