# Athena++ data at time=9.725190e+01  cycle=49793  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999896272684785e-01   5.9999996395657396e-01   1.8564230981119310e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999896335110716e-01   5.9999996397774391e-01   2.9747996705634429e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999896459924520e-01   5.9999996402004008e-01   5.2442342438806200e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999896647059749e-01   5.9999996408351508e-01   7.1830265662739101e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999896896436313e-01   5.9999996416851109e-01   9.2808560049872047e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999897207895583e-01   5.9999996427484670e-01   1.1360232589545953e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999897581273911e-01   5.9999996440270920e-01   1.3465594822709989e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999898016347732e-01   5.9999996455204740e-01   1.5572466666984951e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999898512866359e-01   5.9999996472285166e-01   1.7680282483078381e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999899070528719e-01   5.9999996491503882e-01   1.9783288387438693e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999899689001559e-01   5.9999996512850962e-01   2.1879232062983036e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999900367912731e-01   5.9999996536314026e-01   2.3965821314034494e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999901106856437e-01   5.9999996561879376e-01   2.6040934102168003e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999901905384725e-01   5.9999996589531956e-01   2.8102370133597219e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999902763018045e-01   5.9999996619255214e-01   3.0147818310518307e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999903679239610e-01   5.9999996651031051e-01   3.2175133167541269e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999904653495986e-01   5.9999996684839663e-01   3.4182316729981662e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999905685201418e-01   5.9999996720659698e-01   3.6167637943785539e-10   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999906773733938e-01   5.9999996758468455e-01   3.8129632593523458e-10   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999907918429920e-01   5.9999996798241961e-01   4.0066663290616059e-10   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999909118606412e-01   5.9999996839954994e-01   4.1977440333220595e-10   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999910373535139e-01   5.9999996883581186e-01   4.3860569842270339e-10   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999911682459375e-01   5.9999996929092958e-01   4.5714764688258286e-10   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999913044589883e-01   5.9999996976461611e-01   4.7538980525246370e-10   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999914459104822e-01   5.9999997025657348e-01   4.9332089455083376e-10   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999915925153382e-01   5.9999997076649347e-01   5.1093086035721797e-10   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999917441847397e-01   5.9999997129405735e-01   5.2821054421929869e-10   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999919008273608e-01   5.9999997183893705e-01   5.4515041919491197e-10   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999920623486449e-01   5.9999997240079506e-01   5.6174230123563545e-10   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999922286515575e-01   5.9999997297928409e-01   5.7797848513765731e-10   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999923996354723e-01   5.9999997357404844e-01   5.9385020495640350e-10   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999925751975449e-01   5.9999997418472351e-01   6.0935033649578544e-10   0.0000000000000000e+00   0.0000000000000000e+00
0034   1.2695312500000000e-01   9.9999927552318801e-01   5.9999997481093581e-01   6.2447151210959451e-10   0.0000000000000000e+00   0.0000000000000000e+00
0035   1.3085937500000000e-01   9.9999929396302134e-01   5.9999997545230410e-01   6.3920639095760679e-10   0.0000000000000000e+00   0.0000000000000000e+00
0036   1.3476562500000000e-01   9.9999931282810162e-01   5.9999997610843869e-01   6.5354822179975519e-10   0.0000000000000000e+00   0.0000000000000000e+00
0037   1.3867187500000000e-01   9.9999933210709313e-01   5.9999997677894157e-01   6.6749009618619390e-10   0.0000000000000000e+00   0.0000000000000000e+00
0038   1.4257812500000000e-01   9.9999935178837496e-01   5.9999997746340761e-01   6.8102523902001025e-10   0.0000000000000000e+00   0.0000000000000000e+00
