# Athena++ data at time=1.242519e+02  cycle=63617  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999896275046396e-01   5.9999996398017719e-01   1.8558154532873983e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999896337467387e-01   5.9999996400131106e-01   2.9772350556755635e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999896462273374e-01   5.9999996404353306e-01   5.2478127333947929e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999896649397857e-01   5.9999996410689838e-01   7.1883369168449077e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999896898760310e-01   5.9999996419174872e-01   9.2877978241475091e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999897210201727e-01   5.9999996429790559e-01   1.1368977494708031e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999897583558606e-01   5.9999996442555770e-01   1.3476411354800506e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999898018608657e-01   5.9999996457465510e-01   1.5585753814546980e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999898515099961e-01   5.9999996474519113e-01   1.7696524977112444e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999899072732645e-01   5.9999996493708452e-01   1.9802997091111151e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999899691174354e-01   5.9999996515023912e-01   2.1903014757671043e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999900370052619e-01   5.9999996538453360e-01   2.3994278382590061e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999901108960554e-01   5.9999996563983415e-01   2.6074740491454705e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999901907451971e-01   5.9999996591599303e-01   2.8142159860996479e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999902765047843e-01   5.9999996621284757e-01   3.0194199365882139e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999903681229663e-01   5.9999996653021903e-01   3.2228691238390120e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999904655447169e-01   5.9999996686791268e-01   3.4243667359105678e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999905687113066e-01   5.9999996722571758e-01   3.6237296133439759e-10   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999906775606351e-01   5.9999996760340879e-01   3.8207994176975042e-10   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999907920262276e-01   5.9999996800074851e-01   4.0154124150232763e-10   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999909120400321e-01   5.9999996841748671e-01   4.2074292083520361e-10   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999910375290069e-01   5.9999996885336049e-01   4.3967018457282665e-10   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999911684176290e-01   5.9999996930809552e-01   4.5830997561408026e-10   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999913046268374e-01   5.9999996978140546e-01   4.7665017445223713e-10   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999914460747197e-01   5.9999997027299334e-01   4.9467909275162538e-10   0.0000000000000000e+00   0.0000000000000000e+00
