# Athena++ data at time=1.425195e+01  cycle=7297  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999896265004440e-01   5.9999996387977339e-01   1.8753277777816420e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999896327453952e-01   5.9999996390116817e-01   3.0042723147801674e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999896452313375e-01   5.9999996394392097e-01   5.2938007927065832e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999896639513752e-01   5.9999996400806188e-01   7.2473218274348337e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999896888978146e-01   5.9999996409392919e-01   9.3576589201666676e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999897200543231e-01   5.9999996420131718e-01   1.1445168583149431e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999897574042196e-01   5.9999996433039404e-01   1.3553905404273821e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999898009251420e-01   5.9999996448108250e-01   1.5658819445436158e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999898505914875e-01   5.9999996465334593e-01   1.7759024500719428e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999899063730724e-01   5.9999996484707319e-01   1.9848610048543250e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999899682364279e-01   5.9999996506213638e-01   2.1925498710776743e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999900361437544e-01   5.9999996529838406e-01   2.3987632841304421e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999901100542321e-01   5.9999996555565349e-01   2.6033456529047816e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999901899230403e-01   5.9999996583377102e-01   2.8061287176149992e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999902757018577e-01   5.9999996613255047e-01   3.0069502758821254e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999903673389212e-01   5.9999996645179421e-01   3.2056728849746182e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999904647787508e-01   5.9999996679129197e-01   3.4021801848652382e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999905679624990e-01   5.9999996715082127e-01   3.5963825077347392e-10   0.0000000000000000e+00   0.0000000000000000e+00
