# Athena++ data at time=1.872519e+02  cycle=95873  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999896280457767e-01   5.9999996403428868e-01   1.8575658098987166e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999896342871530e-01   5.9999996405535538e-01   2.9906339248643283e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999896467664040e-01   5.9999996409743661e-01   5.2689038295967932e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999896654767684e-01   5.9999996416059231e-01   7.2180034700009565e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999896904101193e-01   5.9999996424516566e-01   9.3253845933834131e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999897215509581e-01   5.9999996435098046e-01   1.1414488765889548e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999897588825848e-01   5.9999996447822690e-01   1.3529818019480832e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999898023829537e-01   5.9999996462685878e-01   1.5647351011583933e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999898520268860e-01   5.9999996479687212e-01   1.7766693659624058e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999899077843657e-01   5.9999996498819008e-01   1.9882334419681270e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999899696223127e-01   5.9999996520071985e-01   2.1992211156006795e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999900375033790e-01   5.9999996543434486e-01   2.4094139890080650e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999901113870471e-01   5.9999996568893565e-01   2.6186117976382489e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999901912287348e-01   5.9999996596434835e-01   2.8265960196360080e-10   0.0000000000000000e+00   0.0000000000000000e+00
